,title,link,by-line
29,"ICC chairman Shah visits headquarters, vows to take cricket to ‘unprecedented heights’",https://www.thehindu.com/sport/cricket/icc-chairman-shah-visits-headquarters-vows-to-take-cricket-to-unprecedented-heights/article68953526.ece,PTI
30,Schutt leads the charge as Australia women steamroll India in opener,https://www.thehindu.com/sport/cricket/schutt-leads-the-charge-as-australia-women-steamroll-india-in-opener/article68953522.ece,PTI
31,CRICKET | An all-round batting effort sees Mumbai edge Andhra by four wickets,https://www.thehindu.com/sport/cricket/cricket-an-all-round-batting-effort-sees-mumbai-edge-andhra-by-four-wickets/article68951853.ece,V. V. Subrahmanyam
32,CRICKET | Baroda smashes highest-ever T20 total for mammoth win over Sikkim,https://www.thehindu.com/sport/cricket/cricket-baroda-smashes-highest-ever-t20-total-for-mammoth-win-over-sikkim/article68950912.ece,Vivek  Krishnan
33,"Rahul will open, I will bat somewhere in the middle-order, says skipper Rohit",https://www.thehindu.com/sport/cricket/cricket/article68950973.ece,K. C. Vijaya Kumar
34,"There is a great feeling around the team, says Cummins",https://www.thehindu.com/sport/cricket/cricket/article68950910.ece,K. C. Vijaya Kumar
35,"India vs Australia 2nd Test: Don't think Adelaide debacle of 2020 will haunt India in upcoming pink-ball Test, says Shastri",https://www.thehindu.com/sport/cricket/india-vs-australia-2nd-test-dont-think-adelaide-debacle-of-2020-will-haunt-india-in-upcoming-pink-ball-test-says-shastri/article68950388.ece,PTI
36,India vs Australia second Test preview: Intriguing pink-ball battle on the cards as hosts look to get even,https://www.thehindu.com/sport/cricket/india-vs-australia-second-test-border-gavaskar-trophy-pink-ball-day-night-test-preview/article68950071.ece,K C Vijaya Kumar
37,"K.L. Rahul will open, I will bat in middle-order: Rohit Sharma reveals batting line-up ahead of Adelaide Test",https://www.thehindu.com/sport/cricket/kl-rahul-rohit-sharma-batting-lineup-adelaide-test/article68949953.ece,K C Vijaya Kumar
38,"India vs Australia 2nd Test: We try not to notice and just go about our things, says Cummins",https://www.thehindu.com/sport/cricket/pat-cummins-india-vs-australia-border-gavaskar-trophy-second-test-press-conference/article68949891.ece,K C Vijaya Kumar
39,"Syed Mushtaq Ali Trophy: In race to knockouts, little to choose between Saurashtra, Baroda and Gujarat in Group B",https://www.thehindu.com/sport/cricket/syed-mushtaq-ali-trophy-in-race-to-knockouts-little-to-choose-between-saurashtra-baroda-and-gujarat-in-group-b/article68946144.ece,Vivek  Krishnan
40,13-year-old Suryavanshi shines as India stroll into semifinals of U-19 Asia Cup,https://www.thehindu.com/sport/cricket/13-year-old-suryavanshi-shines-as-india-stroll-into-semifinals-of-u-19-asia-cup/article68948248.ece,PTI
